(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
Variación Banco Guayaquil % hasta marzo 2024,2.2,-5.6,0.0,3.0,2.7,2.6,-0.6,-3.1,0.0,2.8,-1.0,-1.1,19.1,2.9,2.0,0.0,100.7,0.0,-1.4,8.9,-4.9,0.0,24.2,-3.9,0.0,0.0,73.5,0.0,-0.2,-79.2,-100.0,-79.2,0.0,2.2,-0.2,1.7
Variación Total Sistema Monto hasta marzo 2024,343.0,-843.0,0.0,468.0,470.0,436.0,174.0,-140.0,-3.0,80.0,5.0,-12.0,177.0,458.0,-23.0,0.0,109.0,-3.0,59.0,155.0,-9.0,6.0,163.0,-115.0,40.0,0.0,376.0,0.0,23.0,-554.0,39.0,-593.0,0.0,343.0,156.0,499.0
"Variación Total Sistema %
 hasta marzo 2024",0.6,-10.1,0.0,5.5,1.2,1.1,13.1,4.9,-5.0,9.6,3.8,-1.4,6.3,0.8,0.0,0.0,52.4,-5.0,2.4,4.0,-2.2,1.1,60.5,-1.7,0.9,0.0,35.3,0.2,7.7,-71.3,99.3,-80.3,0.0,0.6,0.8,0.6
Total Sistema hasta marzo 2021,48506.0,9165.0,0.0,8086.0,27631.0,29181.0,734.0,-2284.0,2.0,787.0,90.0,716.0,2029.0,43381.0,37703.0,0.0,227.0,2.0,1693.0,2884.0,170.0,464.0,236.0,5126.0,3691.0,2.0,1051.0,2.0,204.0,176.0,95.0,81.0,48506.0,12916.0,61422.0,
Guayaquil hasta marzo 2021,5801.0,937.0,0.0,1135.0,3375.0,3513.0,49.0,-187.0,0.0,73.0,8.0,125.0,148.0,5259.0,4468.0,0.0,31.0,0.0,157.0,532.0,20.0,50.0,2.0,542.0,450.0,0.0,73.0,0.0,5.0,14.0,0.0,14.0,5801.0,1632.0,7433.0,
Variación Banco Guayaquil Monto hasta marzo 2021,40.0,-67.0,0.0,-1.0,92.0,84.0,3.0,4.0,0.0,2.0,3.0,-2.0,13.0,33.0,95.0,0.0,7.0,0.0,-17.0,-59.0,0.0,6.0,0.0,6.0,22.0,0.0,3.0,0.0,1.0,-19.0,0.0,-19.0,40.0,44.0,83.0,
Variación Banco Guayaquil % hasta marzo 2021,0.7,-6.7,0.0,-0.1,2.8,2.5,6.4,-2.3,0.0,3.3,51.6,-1.6,9.9,0.6,2.2,0.0,32.1,0.0,-9.6,-9.9,0.0,13.8,24.9,1.2,5.1,0.0,4.8,0.0,14.8,-57.6,0.0,-57.6,0.7,2.8,1.1,
Variación Total Sistema Monto hasta marzo 2021,48.0,-1094.0,0.0,796.0,353.0,364.0,13.0,-24.0,1.0,-91.0,1.0,6.0,75.0,17.0,175.0,0.0,-69.0,1.0,-25.0,-69.0,0.0,19.0,-16.0,31.0,50.0,0.0,118.0,0.0,-15.0,-122.0,30.0,-152.0,48.0,389.0,437.0,
"Variación Total Sistema %
 hasta marzo 2021",0.1,-10.7,0.0,10.9,1.3,1.3,1.8,1.1,48.6,-10.3,1.5,0.9,3.9,0.0,0.5,0.0,-23.2,48.6,-1.4,-2.3,0.0,4.4,-6.4,0.6,1.4,0.0,12.7,0.0,-6.8,-40.9,46.4,-65.2,0.1,3.1,0.7,
Total Sistema hasta marzo 2020,44016.0,6133.0,5.0,6328.0,28049.0,29255.0,790.0,-1997.0,33.0,621.0,75.0,700.0,2071.0,39025.0,33021.0,5.0,151.0,33.0,1811.0,3180.0,150.0,441.0,233.0,4991.0,3389.0,2.0,1081.0,2.0,186.0,332.0,233.0,98.0,44016.0,13195.0,57211.0,
